8095352753854180900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	1000.000000	-0.000000
1.000000	1000.000000	-9.810000
2.000000	990.190000	-19.204983
3.000000	970.985017	-27.424398
4.000000	943.560619	-33.990977
5.000000	909.569642	-38.818373
6.000000	870.751268	-42.130014
7.000000	828.621255	-44.285594
8.000000	784.335661	-45.637860
9.000000	738.697802	-46.465724
10.000000	692.232078	-46.964763
11.000000	645.267315	-47.262730
12.000000	598.004585	-47.439616
13.000000	550.564970	-47.544261
14.000000	503.020708	-47.606042
15.000000	455.414667	-47.642472
16.000000	407.772195	-47.663937
17.000000	360.108258	-47.676581
18.000000	312.431677	-47.684026
19.000000	264.747651	-47.688409
20.000000	217.059242	-47.690989
21.000000	169.368253	-47.692508
22.000000	121.675745	-47.693403
23.000000	73.982342	-47.693929
24.000000	26.288413	-47.694239
