1	1	-0.139482	-0.139530
2	1	-0.138839	-0.279584
3	1	-0.135862	-0.419583
4	1	-0.127727	-0.556447
5	1	-0.111068	-0.683602
6	1	-0.083044	-0.789913
7	1	-0.043502	-0.861255
8	1	0.003525	-0.884344
9	1	0.050697	-0.854420
10	1	0.090777	-0.775773
11	1	0.119511	-0.661606
12	1	0.137103	-0.525513
13	1	0.146187	-0.378962
14	1	0.150103	-0.227897
15	1	0.151369	-0.076136
16	1	0.151369	0.076136
17	1	0.150103	0.227897
18	1	0.146187	0.378962
19	1	0.137103	0.525513
20	1	0.119511	0.661606
21	1	0.090777	0.775773
22	1	0.050697	0.854420
23	1	0.003525	0.884344
24	1	-0.043502	0.861255
25	1	-0.083044	0.789913
26	1	-0.111068	0.683602
27	1	-0.127727	0.556447
28	1	-0.135862	0.419583
29	1	-0.138839	0.279584
30	1	-0.139482	0.139530
1	2	-0.279584	-0.139032
2	2	-0.280053	-0.280340
3	2	-0.276862	-0.425095
4	2	-0.264019	-0.572067
5	2	-0.233466	-0.715345
6	2	-0.177653	-0.842200
7	2	-0.094431	-0.931887
8	2	0.006835	-0.962210
9	2	0.108572	-0.925595
10	2	0.192814	-0.829123
11	2	0.250260	-0.694537
12	2	0.282644	-0.542733
13	2	0.297616	-0.385866
14	2	0.302826	-0.230221
15	2	0.304033	-0.076311
16	2	0.304033	0.076311
17	2	0.302826	0.230221
18	2	0.297616	0.385866
19	2	0.282644	0.542733
20	2	0.250260	0.694537
21	2	0.192814	0.829123
22	2	0.108572	0.925595
23	2	0.006835	0.962210
24	2	-0.094431	0.931887
25	2	-0.177653	0.842200
26	2	-0.233466	0.715345
27	2	-0.264019	0.572067
28	2	-0.276862	0.425095
29	2	-0.280053	0.280340
30	2	-0.279584	0.139032
1	3	-0.419822	-0.136294
2	3	-0.424902	-0.277633
3	3	-0.427589	-0.428491
4	3	-0.417977	-0.591343
5	3	-0.381200	-0.763661
6	3	-0.299586	-0.931568
7	3	-0.163512	-1.062096
8	3	0.009817	-1.106835
9	3	0.183783	-1.056958
10	3	0.321834	-0.920250
11	3	0.405901	-0.745195
12	3	0.445774	-0.564487
13	3	0.458699	-0.392212
14	3	0.459658	-0.230134
15	3	0.457901	-0.075923
16	3	0.457901	0.075923
17	3	0.459658	0.230134
18	3	0.458699	0.392212
19	3	0.445774	0.564487
20	3	0.405901	0.745195
21	3	0.321834	0.920250
22	3	0.183783	1.056958
23	3	0.009817	1.106835
24	3	-0.163512	1.062096
