v_y	closest approach
10245.000000	352483679.587789
10246.000000	352444909.255769
10247.000000	352406034.127991
10248.000000	352367176.752527
10249.000000	352328151.797566
10250.000000	352289037.927709
10251.000000	352249951.887158
10252.000000	352210655.199168
10253.000000	352171304.014346
10254.000000	352132031.048456
10255.000000	352092413.140679
10256.000000	352052826.085738
10257.000000	352013317.804957
10258.000000	351973419.468006
10259.000000	351933598.005261
10260.000000	351893779.607801
10261.000000	351853668.191729
10262.000000	351813613.800692
10263.000000	351773466.756887
10264.000000	351733153.485943
10265.000000	351692848.706695
10266.000000	351652414.349966
10267.000000	351611869.687112
10268.000000	351571301.585646
10269.000000	351530624.002134
10270.000000	351489811.292915
10271.000000	351449018.741355
10272.000000	351408026.166072
10273.000000	351366972.961079
10274.000000	351325990.508368
10275.000000	351284628.537972
10276.000000	351243349.508218
10277.000000	351201978.084222
10278.000000	351160439.183912
10279.000000	351118895.719301
10280.000000	351077238.122379
10281.000000	351035453.219414
10282.000000	350993685.241564
10283.000000	350951697.442042
10284.000000	350909665.915635
10285.000000	350867638.590791
10286.000000	350825324.176057
10287.000000	350783058.330742
10288.000000	350740654.832671
10289.000000	350698138.933827
10290.000000	350655626.732503
10291.000000	350612910.206757
10292.000000	350570137.432006
10293.000000	350527348.234037
10294.000000	350484303.826328
10295.000000	350441283.316606
10296.000000	350398145.354662
10297.000000	350354871.385779
10298.000000	350311669.270740
10299.000000	350268111.372760
10300.000000	350224609.038101
10301.000000	350180983.763087
10302.000000	350137226.355534
10303.000000	350093475.946387
10304.000000	350049514.248955
10305.000000	350005502.450879
10306.000000	349961426.541612
10307.000000	349917156.021895
10308.000000	349872893.330639
10309.000000	349828467.006524
10310.000000	349783950.455477
10311.000000	349739395.302064
10312.000000	349694615.929561
10313.000000	349649852.579549
10314.000000	349604926.052296
10315.000000	349559909.582969
10316.000000	349514837.776246
10317.000000	349469563.466659
10318.000000	349424309.168832
10319.000000	349378849.627618
10320.000000	349333338.196005
10321.000000	349287722.411276
10322.000000	349241957.843943
10323.000000	349196247.635129
10324.000000	349150197.787494
10325.000000	349104191.101840
10326.000000	349058043.820875
10327.000000	349011760.073842
10328.000000	348965506.902424
10329.000000	348918932.379571
10330.000000	348872409.270804
10331.000000	348825707.391928
10332.000000	348778932.949334
10333.000000	348732046.717346
10334.000000	348685017.022944
10335.000000	348638041.962764
10336.000000	348590692.763742
10337.000000	348543405.749179
10338.000000	348495954.432104
10339.000000	348448417.086784
10340.000000	348400768.198094
10341.000000	348352974.154991
10342.000000	348305212.986755
10343.000000	348257106.659656
10344.000000	348209071.246031
10345.000000	348160809.111244
10346.000000	348112517.637775
10347.000000	348064076.097986
10348.000000	348015504.581372
10349.000000	347966870.109913
10350.000000	347918049.691703
10351.000000	347869282.416806
10352.000000	347820149.555141
10353.000000	347771093.676770
10354.000000	347721799.005470
10355.000000	347672472.707837
10356.000000	347622992.952878
10357.000000	347573405.315868
10358.000000	347523711.084357
10359.000000	347473861.682117
10360.000000	347423967.552595
10361.000000	347373853.458567
10362.000000	347323792.018746
10363.000000	347273375.796370
10364.000000	347223064.688526
10365.000000	347172423.921691
10366.000000	347121811.854958
10367.000000	347070993.135395
10368.000000	347020118.574712
10369.000000	346969078.812722
10370.000000	346917949.205036
10371.000000	346866676.402965
10372.000000	346815275.806931
10373.000000	346763777.376106
10374.000000	346712110.789108
10375.000000	346660368.497834
10376.000000	346608449.760951
10377.000000	346556471.690639
10378.000000	346504288.404811
10379.000000	346452077.609576
10380.000000	346399622.475680
10381.000000	346347177.844843
10382.000000	346294447.800860
10383.000000	346241764.922281
10384.000000	346188760.279636
10385.000000	346135826.238553
10386.000000	346082555.882946
10387.000000	346029364.086082
10388.000000	345975830.653052
10389.000000	345922376.168956
10390.000000	345868580.703199
10391.000000	345814858.659075
10392.000000	345760802.217291
10393.000000	345706806.911568
10394.000000	345652491.449552
10395.000000	345598210.552660
10396.000000	345543644.724187
10397.000000	345489074.964610
10398.000000	345434258.435046
10399.000000	345379400.181031
10400.000000	345324329.045287
10401.000000	345269187.177486
10402.000000	345213853.087033
10403.000000	345158426.611292
10404.000000	345102827.161026
10405.000000	345047100.639816
10406.000000	344991247.936292
10407.000000	344935216.958267
10408.000000	344879098.036085
10409.000000	344822772.360306
10410.000000	344766408.337992
10411.000000	344709763.706963
10412.000000	344653158.176892
10413.000000	344596187.926284
10414.000000	344539261.200793
10415.000000	344482042.012983
10416.000000	344424785.243121
10417.000000	344367323.028090
10418.000000	344309744.743303
10419.000000	344252028.098592
10420.000000	344194115.480781
10421.000000	344136146.729691
10422.000000	344077903.490397
10423.000000	344019678.433799
10424.000000	343961106.085000
10425.000000	343902524.228556
10426.000000	343843720.642096
10427.000000	343784798.355533
10428.000000	343725739.929360
10429.000000	343666468.021549
10430.000000	343607175.474940
10431.000000	343547540.882994
10432.000000	343487901.623212
10433.000000	343428014.563129
10434.000000	343368018.245435
10435.000000	343307881.130068
10436.000000	343247520.922850
10437.000000	343187146.880876
10438.000000	343126416.342633
10439.000000	343065665.124232
10440.000000	343004702.368953
10441.000000	342943570.557693
10442.000000	342882376.927603
10443.000000	342820861.159770
10444.000000	342759316.095194
10445.000000	342697534.969981
10446.000000	342635603.550439
10447.000000	342573590.088475
10448.000000	342511264.181476
10449.000000	342448899.853986
10450.000000	342386301.115398
10451.000000	342323537.584356
10452.000000	342260712.624073
10453.000000	342197544.477106
10454.000000	342134328.855205
10455.000000	342070921.253717
10456.000000	342007294.215984
10457.000000	341943612.320621
10458.000000	341879624.971115
10459.000000	341815525.021776
10460.000000	341751319.670300
10461.000000	341686798.827482
10462.000000	341622212.227242
10463.000000	341557432.395177
10464.000000	341492418.514359
10465.000000	341427331.803805
10466.000000	341361980.578375
10467.000000	341296460.359233
10468.000000	341230860.357166
10469.000000	341164940.901736
10470.000000	341098901.321131
10471.000000	341032772.356669
10472.000000	340966290.675893
10473.000000	340899718.986183
10474.000000	340833027.450690
10475.000000	340766007.835806
10476.000000	340698891.563163
10477.000000	340631640.803792
10478.000000	340564070.936277
10479.000000	340496397.878985
10480.000000	340428591.315044
10481.000000	340360459.147425
10482.000000	340292217.374173
10483.000000	340223858.495995
10484.000000	340155152.250132
10485.000000	340086330.098290
10486.000000	340017388.909980
10487.000000	339948130.631444
10488.000000	339878716.705335
10489.000000	339809177.605415
10490.000000	339739375.279941
10491.000000	339669358.449091
10492.000000	339599210.421047
10493.000000	339528867.781065
10494.000000	339458237.178447
10495.000000	339387469.468553
10496.000000	339316561.684256
10497.000000	339245335.332664
10498.000000	339173937.448203
10499.000000	339102393.739186
10500.000000	339030635.936615
10501.000000	338958597.644084
10502.000000	338886407.888566
10503.000000	338814063.816704
10504.000000	338741433.919267
10505.000000	338668588.252201
10506.000000	338595582.788099
10507.000000	338522414.739590
10508.000000	338448919.522179
10509.000000	338375243.165808
10510.000000	338301398.900794
10511.000000	338227384.005261
10512.000000	338153030.461636
10513.000000	338078500.841632
10514.000000	338003795.422035
10515.000000	337928911.545975
10516.000000	337853706.884208
10517.000000	337778302.160089
10518.000000	337702713.964292
10519.000000	337626939.704454
10520.000000	337550891.342289
10521.000000	337474590.400759
10522.000000	337398098.532515
10523.000000	337321413.209207
10524.000000	337244528.769345
10525.000000	337167311.217551
10526.000000	337089895.499230
10527.000000	337012279.149545
10528.000000	336934459.722224
10529.000000	336856412.613565
10530.000000	336778053.579312
10531.000000	336699486.950267
10532.000000	336620710.343031
10533.000000	336541721.392591
10534.000000	336462517.752281
10535.000000	336382988.346025
10536.000000	336303236.219355
10537.000000	336223265.121642
10538.000000	336143072.768303
10539.000000	336062656.892929
10540.000000	335981992.063745
10541.000000	335901021.381342
10542.000000	335819823.085119
10543.000000	335738394.970095
10544.000000	335656734.849277
10545.000000	335574840.553621
10546.000000	335492709.931993
10547.000000	335410270.337144
10548.000000	335327575.604001
10549.000000	335244640.725739
10550.000000	335161463.611704
10551.000000	335078042.188973
10552.000000	334994374.402312
10553.000000	334910458.214133
10554.000000	334826270.004065
10555.000000	334741781.378548
10556.000000	334657040.800280
10557.000000	334572046.291190
10558.000000	334486795.890667
10559.000000	334401287.655530
10560.000000	334315519.659981
10561.000000	334229489.995565
10562.000000	334143196.771137
10563.000000	334056638.112814
10564.000000	333969776.027164
10565.000000	333882633.496247
10566.000000	333795222.366471
10567.000000	333707540.822029
10568.000000	333619587.064186
10569.000000	333531359.311243
10570.000000	333442855.798496
10571.000000	333354074.778192
10572.000000	333265014.519488
10573.000000	333175673.308415
10574.000000	333086049.447832
10575.000000	332996141.257385
10576.000000	332905947.073468
10577.000000	332815465.249179
10578.000000	332724694.154280
10579.000000	332633632.175151
10580.000000	332542277.714757
10581.000000	332450629.192595
10582.000000	332358684.042404
10583.000000	332266434.148683
10584.000000	332173887.718796
10585.000000	332081043.227554
10586.000000	331987899.166107
10587.000000	331894454.041895
10588.000000	331800706.378605
10589.000000	331706654.716125
10590.000000	331612297.610508
10591.000000	331517633.633919
10592.000000	331422651.774383
10593.000000	331327357.193118
10594.000000	331231749.488957
10595.000000	331135827.308402
10596.000000	331039589.313834
10597.000000	330943034.183479
10598.000000	330846160.611355
10599.000000	330748967.307231
10600.000000	330651452.996579
10601.000000	330553616.420531
10602.000000	330455456.335831
10603.000000	330356971.514790
10604.000000	330258160.745241
10605.000000	330159022.830489
10606.000000	330059556.589268
10607.000000	329959760.855693
10608.000000	329859634.479213
10609.000000	329759166.538652
10610.000000	329658327.367177
10611.000000	329557152.305631
10612.000000	329455640.274462
10613.000000	329353790.209203
10614.000000	329251601.060426
10615.000000	329149071.793691
10616.000000	329046201.389497
10617.000000	328942988.843239
10618.000000	328839395.985994
10619.000000	328735429.725760
10620.000000	328631116.606065
10621.000000	328526455.691416
10622.000000	328421446.060955
10623.000000	328316086.808404
10624.000000	328210376.710962
10625.000000	328104236.758669
10626.000000	327997742.823878
10627.000000	327890894.068116
10628.000000	327783689.667226
10629.000000	327676128.811318
10630.000000	327568164.021972
10631.000000	327459797.173077
10632.000000	327351069.859468
10633.000000	327241981.337704
10634.000000	327132530.878343
10635.000000	327022644.694547
10636.000000	326912367.615765
10637.000000	326801724.882593
10638.000000	326690715.830879
10639.000000	326579291.693473
10640.000000	326467439.406468
10641.000000	326355217.321770
10642.000000	326242624.839559
10643.000000	326129599.651512
10644.000000	326016148.105955
10645.000000	325902322.918292
10646.000000	325788123.552060
10647.000000	325673436.400823
10648.000000	325558362.922106
10649.000000	325442912.251640
10650.000000	325327012.755419
10651.000000	325210676.052567
10652.000000	325093959.324471
10653.000000	324976810.031879
10654.000000	324859195.818433
10655.000000	324741198.924046
10656.000000	324622763.386621
10657.000000	324503858.016752
10658.000000	324384567.486128
10659.000000	324264810.251271
10660.000000	324144600.713697
10661.000000	324024003.709495
10662.000000	323902890.313325
10663.000000	323781364.225130
10664.000000	323659408.535721
10665.000000	323536945.496503
10666.000000	323414091.096863
10667.000000	323290720.595576
10668.000000	323166919.940821
10669.000000	323042663.178058
10670.000000	322917908.955024
10671.000000	322792747.480342
10672.000000	322667032.605492
10673.000000	322540921.520886
10674.000000	322414265.934417
10675.000000	322287185.969929
10676.000000	322159584.557036
10677.000000	322031529.170772
10678.000000	321902964.658482
10679.000000	321773927.533121
10680.000000	321644382.990599
10681.000000	321514358.031895
10682.000000	321383816.868719
10683.000000	321252798.203999
10684.000000	321121244.168423
10685.000000	320989226.145049
10686.000000	320856643.322244
10687.000000	320723620.506071
10688.000000	320589993.316357
10689.000000	320455916.023645
10690.000000	320321273.687213
10691.000000	320186126.036713
10692.000000	320050464.518153
10693.000000	319914231.792851
10694.000000	319777520.511889
10695.000000	319640214.247588
10696.000000	319502393.269597
10697.000000	319364054.894568
10698.000000	319225110.353416
10699.000000	319085660.121635
10700.000000	318945654.115564
10701.000000	318805057.048750
10702.000000	318663937.880907
10703.000000	318522250.508139
10704.000000	318379962.054728
10705.000000	318237135.576827
10706.000000	318093753.969548
10707.000000	317949736.569891
10708.000000	317805165.705493
10709.000000	317660035.121048
10710.000000	317514295.239040
10711.000000	317367944.198350
10712.000000	317221018.654063
10713.000000	317073512.593464
10714.000000	316925390.390321
10715.000000	316776635.846166
10716.000000	316627286.651825
10717.000000	316477337.034702
10718.000000	316326781.286686
10719.000000	316175586.024724
10720.000000	316023747.471660
10721.000000	315871289.469452
10722.000000	315718206.546943
10723.000000	315564493.296640
10724.000000	315410144.374535
10725.000000	315255154.499938
10726.000000	315099491.913993
10727.000000	314943173.053609
10728.000000	314786201.066343
10729.000000	314628570.903848
10730.000000	314470277.580232
10731.000000	314311316.171889
10732.000000	314151681.817310
10733.000000	313991369.716911
10734.000000	313830375.132843
10735.000000	313668693.388816
10736.000000	313506319.869915
10737.000000	313343250.022412
10738.000000	313179479.353582
10739.000000	313015003.431520
10740.000000	312849817.884945
10741.000000	312683918.403014
10742.000000	312517300.735137
10743.000000	312349960.690775
10744.000000	312181894.139252
10745.000000	312013097.009566
10746.000000	311843565.290181
10747.000000	311673295.028839
10748.000000	311502271.201883
10749.000000	311330475.760465
10750.000000	311157927.402323
10751.000000	310984622.429099
10752.000000	310810557.200684
10753.000000	310635728.135014
10754.000000	310460128.084571
10755.000000	310283706.143032
10756.000000	310106507.208442
10757.000000	309928527.947526
10758.000000	309749765.083988
10759.000000	309570173.751507
10760.000000	309389764.556115
10761.000000	309208559.609715
10762.000000	309026555.880358
10763.000000	308843672.580998
10764.000000	308659981.130584
10765.000000	308475479.554106
10766.000000	308290089.801457
10767.000000	308103869.459370
10768.000000	307916821.771620
10769.000000	307728860.666951
10770.000000	307540071.058680
10771.000000	307350395.278179
10772.000000	307159836.234060
10773.000000	306968416.927442
10774.000000	306776068.089513
10775.000000	306582870.773018
10776.000000	306388712.448588
10777.000000	306193702.325273
10778.000000	305997716.644869
10779.000000	305800863.249665
10780.000000	305603029.512482
10781.000000	305404299.732267
10782.000000	305204601.376420
10783.000000	305003964.094946
10784.000000	304802384.042765
10785.000000	304599808.973040
10786.000000	304396296.192629
10787.000000	304191788.467832
10788.000000	303986290.143552
10789.000000	303779824.637224
10790.000000	303572346.080687
10791.000000	303363849.260349
10792.000000	303154356.890197
10793.000000	302943858.324765
10794.000000	302732299.270516
10795.000000	302519708.958945
10796.000000	302306085.567031
10797.000000	302091418.976383
10798.000000	301875699.206302
10799.000000	301658890.126053
10800.000000	301441006.321759
10801.000000	301222044.300483
10802.000000	301001994.600662
10803.000000	300780847.896376
10804.000000	300558594.996924
10805.000000	300335226.846392
10806.000000	300110734.523223
10807.000000	299885109.239784
10808.000000	299658342.341919
10809.000000	299430425.308516
10810.000000	299201349.751054
10811.000000	298971107.413156
10812.000000	298739690.170135
10813.000000	298507090.028536
10814.000000	298273299.125674
10815.000000	298038309.729171
10816.000000	297802084.759779
10817.000000	297564638.304370
10818.000000	297325967.317413
10819.000000	297086064.610120
10820.000000	296844915.185812
10821.000000	296602475.230841
10822.000000	296358779.248121
10823.000000	296113820.584476
10824.000000	295867541.373498
10825.000000	295619970.239183
10826.000000	295371110.246494
10827.000000	295120886.974415
10828.000000	294869362.953380
10829.000000	294616475.808038
10830.000000	294362246.453431
10831.000000	294106644.664886
10832.000000	293849673.567396
10833.000000	293591304.357479
10834.000000	293331556.418421
10835.000000	293070368.566401
10836.000000	292807786.424276
10837.000000	292543753.820323
10838.000000	292278274.535831
10839.000000	292011355.525653
10840.000000	291742955.742061
10841.000000	291473064.733487
10842.000000	291201690.528930
10843.000000	290928817.447168
10844.000000	290654428.303656
10845.000000	290378486.131451
10846.000000	290101004.236806
10847.000000	289821967.854275
10848.000000	289541362.454372
10849.000000	289259173.742767
10850.000000	288975387.659501
10851.000000	288689990.378164
10852.000000	288402968.305087
10853.000000	288114308.078522
10854.000000	287823996.567802
10855.000000	287532020.872511
10856.000000	287238366.229650
10857.000000	286942994.769418
10858.000000	286645917.455278
10859.000000	286347122.334561
10860.000000	286046597.680493
10861.000000	285744291.022216
10862.000000	285440221.134108
10863.000000	285134383.716995
10864.000000	284826708.374789
10865.000000	284517238.550726
10866.000000	284205919.060233
10867.000000	283892758.356577
10868.000000	283577717.570177
10869.000000	283260809.704425
10870.000000	282941972.973147
10871.000000	282621236.685023
10872.000000	282298558.992542
10873.000000	281973914.281864
10874.000000	281647307.273479
10875.000000	281318715.905244
10876.000000	280988110.302635
10877.000000	280655466.182833
10878.000000	280320779.074926
10879.000000	279984028.335394
10880.000000	279645193.683170
10881.000000	279304255.198360
10882.000000	278961193.320922
10883.000000	278615988.849363
10884.000000	278268622.939385
10885.000000	277919069.875379
10886.000000	277567298.637271
10887.000000	277213306.591273
10888.000000	276857076.351638
10889.000000	276498572.218587
10890.000000	276137767.050632
10891.000000	275774668.837682
10892.000000	275409210.331408
10893.000000	275041415.669670
10894.000000	274671218.212946
10895.000000	274298638.025250
10896.000000	273923609.652831
10897.000000	273546135.168358
10898.000000	273166193.528081
10899.000000	272783746.619079
10900.000000	272398763.760689
10901.000000	272011233.735337
10902.000000	271621128.877449
10903.000000	271228422.038744
10904.000000	270833086.586342
10905.000000	270435096.400832
10906.000000	270034425.874321
10907.000000	269631049.908457
10908.000000	269224921.975908
10909.000000	268816030.045892
10910.000000	268404354.929539
10911.000000	267989849.582392
10912.000000	267572490.600038
10913.000000	267152256.598241
10914.000000	266729103.622032
10915.000000	266303008.836150
10916.000000	265873952.833067
10917.000000	265441873.628192
10918.000000	265006761.792863
10919.000000	264568584.559977
10920.000000	264127306.377622
10921.000000	263682892.393557
10922.000000	263235308.452583
10923.000000	262784521.093860
10924.000000	262330497.548216
10925.000000	261873205.735400
10926.000000	261412600.477181
10927.000000	260948643.375116
10928.000000	260481319.884961
10929.000000	260010559.583392
10930.000000	259536362.353950
10931.000000	259058647.502745
10932.000000	258577409.494954
10933.000000	258092602.584377
10934.000000	257604178.345285
10935.000000	257112093.032713
10936.000000	256616313.963032
10937.000000	256116798.962391
10938.000000	255613497.235039
10939.000000	255106367.239889
10940.000000	254595373.546137
10941.000000	254080475.479647
10942.000000	253561599.089185
10943.000000	253038736.323513
10944.000000	252511803.925740
10945.000000	251980778.744094
10946.000000	251445609.319120
10947.000000	250906242.016116
10948.000000	250362624.346400
10949.000000	249814704.962826
10950.000000	249262433.655254
10951.000000	248705761.345989
10952.000000	248144640.085116
10953.000000	247579001.357213
10954.000000	247008801.367641
10955.000000	246433975.375974
10956.000000	245854479.148918
10957.000000	245270245.213535
10958.000000	244681210.405956
10959.000000	244087323.960399
10960.000000	243488522.963780
10961.000000	242884736.168641
10962.000000	242275913.190999
10963.000000	241661993.856983
10964.000000	241042890.913936
10965.000000	240418559.644218
10966.000000	239788928.361332
10967.000000	239153920.798821
10968.000000	238513470.248331
10969.000000	237867502.487778
10970.000000	237215947.667555
10971.000000	236558739.528842
10972.000000	235895794.868402
10973.000000	235227042.670652
10974.000000	234552394.327084
10975.000000	233871781.807552
10976.000000	233185121.516450
10977.000000	232492331.864430
10978.000000	231793333.018542
10979.000000	231088020.366409
10980.000000	230376336.644872
10981.000000	229658164.431583
10982.000000	228933431.952483
10983.000000	228202043.948077
10984.000000	227463907.034617
10985.000000	226718925.926468
10986.000000	225966992.353464
10987.000000	225208024.896761
10988.000000	224441913.315223
10989.000000	223668550.605451
10990.000000	222887838.315851
10991.000000	222099659.544236
10992.000000	221303918.327866
10993.000000	220500492.821920
10994.000000	219689276.153139
10995.000000	218870146.350898
10996.000000	218042984.553805
10997.000000	217207674.996267
10998.000000	216364086.651120
10999.000000	215512101.583397
11000.000000	214651582.984453
11001.000000	213782397.574903
11002.000000	212904415.589164
11003.000000	212017503.224774
11004.000000	211121513.477983
11005.000000	210216302.283540
11006.000000	209301722.187317
11007.000000	208377624.442567
11008.000000	207443858.927653
11009.000000	206500265.599563
11010.000000	205546680.815358
11011.000000	204582945.348135
11012.000000	203608885.371206
11013.000000	202624333.313244
11014.000000	201629109.277664
11015.000000	200623038.266998
11016.000000	199605924.254371
11017.000000	198577587.725383
11018.000000	197537833.295608
11019.000000	196486456.744186
11020.000000	195423260.578991
11021.000000	194348029.101393
11022.000000	193260552.539888
11023.000000	192160608.784063
11024.000000	191047973.605951
11025.000000	189922417.516312
11026.000000	188783693.958309
11027.000000	187631567.331900
11028.000000	186465786.992270
11029.000000	185286085.973287
11030.000000	184092208.809724
11031.000000	182883874.565138
11032.000000	181660811.337817
11033.000000	180422724.991044
11034.000000	179169323.219272
11035.000000	177900294.835389
11036.000000	176615327.546975
11037.000000	175314096.333942
11038.000000	173996270.484782
11039.000000	172661494.719971
11040.000000	171309424.012344
11041.000000	169939678.830173
11042.000000	168551890.328797
11043.000000	167145654.785012
11044.000000	165720575.480978
11045.000000	164276222.974239
11046.000000	162812169.648893
11047.000000	161327955.426096
11048.000000	159823118.141841
11049.000000	158297168.403983
11050.000000	156749601.230189
11051.000000	155179895.136403
11052.000000	153587496.337834
11053.000000	151971839.549407
11054.000000	150332333.154520
11055.000000	148668355.468918
11056.000000	146979260.586979
11057.000000	145264367.086348
11058.000000	143522969.513127
11059.000000	141754319.911966
11060.000000	139957635.699579
11061.000000	138132094.864787
11062.000000	136276828.885947
11063.000000	134390914.937573
11064.000000	132473390.105930
11065.000000	130523213.676673
11066.000000	128539299.642543
11067.000000	126520473.468079
11068.000000	124465488.110993
11069.000000	122373006.529063
11070.000000	120241586.600620
11071.000000	118069676.139860
11072.000000	115855587.896620
11073.000000	113597491.259014
