t	y	v	
1.030000	39444.746016	-10.103312	0.000000	0.000000
1.040000	39444.644002	-10.201380	0.000000	0.000000
1.050000	39444.541007	-10.299449	0.000000	0.000000
1.060000	39444.437032	-10.397517	0.000000	0.000000
1.070000	39444.332076	-10.495585	0.000000	0.000000
1.080000	39444.226140	-10.593652	0.000000	0.000000
1.090000	39444.119222	-10.691720	0.000000	0.000000
1.100000	39444.011325	-10.789787	0.000000	0.000000
1.110000	39443.902446	-10.887853	0.000000	0.000000
1.120000	39443.792587	-10.985920	0.000000	0.000000
1.130000	39443.681747	-11.083986	0.000000	0.000000
1.140000	39443.569927	-11.182048	0.000000	0.000000
1.150000	39443.457125	-11.280110	0.000000	0.000000
1.160000	39443.343344	-11.378172	0.000000	0.000000
1.170000	39443.228581	-11.476233	0.000000	0.000000
1.180000	39443.112838	-11.574294	0.000000	0.000000
1.190000	39442.996115	-11.672354	0.000000	0.000000
1.200000	39442.878411	-11.770415	0.000000	0.000000
1.210000	39442.759726	-11.868475	0.000000	0.000000
1.220000	39442.640061	-11.966534	0.000000	0.000000
1.230000	39442.519415	-12.064594	0.000000	0.000000
1.240000	39442.397788	-12.162649	0.000000	0.000000
1.250000	39442.275181	-12.260704	0.000000	0.000000
1.260000	39442.151594	-12.358758	0.000000	0.000000
1.270000	39442.027026	-12.456812	0.000000	0.000000
1.280000	39441.901477	-12.554866	0.000000	0.000000
1.290000	39441.774948	-12.652920	0.000000	0.000000
1.300000	39441.647438	-12.750973	0.000000	0.000000
1.310000	39441.518948	-12.849025	0.000000	0.000000
1.320000	39441.389477	-12.947078	0.000000	0.000000
1.330000	39441.259026	-13.045130	0.000000	0.000000
1.340000	39441.127594	-13.143177	0.000000	0.000000
1.350000	39440.995182	-13.241224	0.000000	0.000000
1.360000	39440.861789	-13.339271	0.000000	0.000000
1.370000	39440.727416	-13.437317	0.000000	0.000000
1.380000	39440.592062	-13.535363	0.000000	0.000000
1.390000	39440.455728	-13.633409	0.000000	0.000000
1.400000	39440.318413	-13.731454	0.000000	0.000000
1.410000	39440.180118	-13.829499	0.000000	0.000000
1.420000	39440.040843	-13.927543	0.000000	0.000000
1.430000	39439.900587	-14.025587	0.000000	0.000000
1.440000	39439.759351	-14.123627	0.000000	0.000000
1.450000	39439.617134	-14.221665	0.000000	0.000000
1.460000	39439.473937	-14.319704	0.000000	0.000000
1.470000	39439.329760	-14.417742	0.000000	0.000000
1.480000	39439.184602	-14.515779	0.000000	0.000000
1.490000	39439.038464	-14.613816	0.000000	0.000000
1.500000	39438.891345	-14.711853	0.000000	0.000000
1.510000	39438.743246	-14.809889	0.000000	0.000000
1.520000	39438.594167	-14.907925	0.000000	0.000000
1.530000	39438.444108	-15.005961	0.000000	0.000000
1.540000	39438.293068	-15.103991	0.000000	0.000000
1.550000	39438.141047	-15.202021	0.000000	0.000000
1.560000	39437.988047	-15.300050	0.000000	0.000000
1.570000	39437.834066	-15.398079	0.000000	0.000000
1.580000	39437.679105	-15.496108	0.000000	0.000000
1.590000	39437.523164	-15.594136	0.000000	0.000000
1.600000	39437.366242	-15.692164	0.000000	0.000000
1.610000	39437.208340	-15.790191	0.000000	0.000000
1.620000	39437.049458	-15.888217	0.000000	0.000000
1.630000	39436.889596	-15.986244	0.000000	0.000000
1.640000	39436.728753	-16.084269	0.000000	0.000000
1.650000	39436.566930	-16.182290	0.000000	0.000000
1.660000	39436.404127	-16.280310	0.000000	0.000000
1.670000	39436.240344	-16.378329	0.000000	0.000000
1.680000	39436.075580	-16.476348	0.000000	0.000000
1.690000	39435.909836	-16.574366	0.000000	0.000000
1.700000	39435.743113	-16.672384	0.000000	0.000000
1.710000	39435.575409	-16.770402	0.000000	0.000000
1.720000	39435.406724	-16.868419	0.000000	0.000000
1.730000	39435.237060	-16.966435	0.000000	0.000000
1.740000	39435.066416	-17.064451	0.000000	0.000000
1.750000	39434.894791	-17.162461	0.000000	0.000000
