theta_zero	approximation	T
2.220000	2.006067	2.915759
2.230000	2.006067	2.927807
2.240000	2.006067	2.940026
2.250000	2.006067	2.952419
2.260000	2.006067	2.964990
2.270000	2.006067	2.977744
2.280000	2.006067	2.990684
2.290000	2.006067	3.003815
2.300000	2.006067	3.017141
2.310000	2.006067	3.030666
2.320000	2.006067	3.044396
2.330000	2.006067	3.058336
2.340000	2.006067	3.072489
2.350000	2.006067	3.086863
2.360000	2.006067	3.101462
2.370000	2.006067	3.116293
2.380000	2.006067	3.131360
2.390000	2.006067	3.146671
2.400000	2.006067	3.162231
2.410000	2.006067	3.178048
2.420000	2.006067	3.194129
2.430000	2.006067	3.210480
2.440000	2.006067	3.227110
2.450000	2.006067	3.244026
2.460000	2.006067	3.261237
2.470000	2.006067	3.278752
2.480000	2.006067	3.296579
2.490000	2.006067	3.314728
2.500000	2.006067	3.333209
2.510000	2.006067	3.352032
2.520000	2.006067	3.371209
2.530000	2.006067	3.390751
2.540000	2.006067	3.410669
2.550000	2.006067	3.430977
2.560000	2.006067	3.451688
2.570000	2.006067	3.472816
2.580000	2.006067	3.494376
2.590000	2.006067	3.516383
2.600000	2.006067	3.538854
2.610000	2.006067	3.561807
2.620000	2.006067	3.585259
2.630000	2.006067	3.609231
2.640000	2.006067	3.633743
2.650000	2.006067	3.658817
2.660000	2.006067	3.684477
2.670000	2.006067	3.710747
2.680000	2.006067	3.737655
2.690000	2.006067	3.765229
2.700000	2.006067	3.793498
2.710000	2.006067	3.822496
2.720000	2.006067	3.852258
2.730000	2.006067	3.882821
2.740000	2.006067	3.914225
2.750000	2.006067	3.946514
2.760000	2.006067	3.979735
2.770000	2.006067	4.013939
2.780000	2.006067	4.049181
2.790000	2.006067	4.085521
2.800000	2.006067	4.123025
2.810000	2.006067	4.161765
2.820000	2.006067	4.201818
2.830000	2.006067	4.243272
2.840000	2.006067	4.286221
2.850000	2.006067	4.330771
2.860000	2.006067	4.377038
2.870000	2.006067	4.425152
2.880000	2.006067	4.475260
2.890000	2.006067	4.527525
2.900000	2.006067	4.582132
2.910000	2.006067	4.639290
2.920000	2.006067	4.699239
2.930000	2.006067	4.762253
2.940000	2.006067	4.828650
2.950000	2.006067	4.898800
2.960000	2.006067	4.973135
2.970000	2.006067	5.052168
2.980000	2.006067	5.136513
2.990000	2.006067	5.226912
3.000000	2.006067	5.324272
3.010000	2.006067	5.429721
3.020000	2.006067	5.544681
3.030000	2.006067	5.670986
3.040000	2.006067	5.811045
3.050000	2.006067	5.968121
3.060000	2.006067	6.146771
3.070000	2.006067	6.353628
3.080000	2.006067	6.598864
3.090000	2.006067	6.899204
3.100000	2.006067	7.284975
3.110000	2.006067	7.819926
3.120000	2.006067	8.674921
3.130000	2.006067	10.583443
3.140000	2.006067	27.539033
