x    	sin (x)	N=0.000000	N=2.000000	N=4.000000	N=6.000000	N=8.000000	N=10.000000	N=12.000000	N=14.000000	N=16.000000	N=18.000000	
-0.500000	-0.479426	-0.500000	-0.479427	-0.479426	-0.479426	-0.479426	-0.479426	-0.479426	-0.479426	-0.479426	-1.#IND00	
-0.400000	-0.389418	-0.400000	-0.389419	-0.389418	-0.389418	-0.389418	-0.389418	-0.389418	-0.389418	-0.389418	-1.#IND00	
-0.300000	-0.295520	-0.300000	-0.295520	-0.295520	-0.295520	-0.295520	-0.295520	-0.295520	-0.295520	-0.295520	-1.#IND00	
-0.200000	-0.198669	-0.200000	-0.198669	-0.198669	-0.198669	-0.198669	-0.198669	-0.198669	-0.198669	-0.198669	-1.#IND00	
-0.100000	-0.099833	-0.100000	-0.099833	-0.099833	-0.099833	-0.099833	-0.099833	-0.099833	-0.099833	-0.099833	-1.#IND00	
-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-1.#IND00	
0.100000	0.099833	0.100000	0.099833	0.099833	0.099833	0.099833	0.099833	0.099833	0.099833	0.099833	-1.#IND00	
0.200000	0.198669	0.200000	0.198669	0.198669	0.198669	0.198669	0.198669	0.198669	0.198669	0.198669	-1.#IND00	
0.300000	0.295520	0.300000	0.295520	0.295520	0.295520	0.295520	0.295520	0.295520	0.295520	0.295520	-1.#IND00	
0.400000	0.389418	0.400000	0.389419	0.389418	0.389418	0.389418	0.389418	0.389418	0.389418	0.389418	-1.#IND00	
0.500000	0.479426	0.500000	0.479427	0.479426	0.479426	0.479426	0.479426	0.479426	0.479426	0.479426	-1.#IND00	
0.600000	0.564642	0.600000	0.564648	0.564642	0.564642	0.564642	0.564642	0.564642	0.564642	0.564642	-1.#IND00	
0.700000	0.644218	0.700000	0.644234	0.644218	0.644218	0.644218	0.644218	0.644218	0.644218	0.644218	-1.#IND00	
0.800000	0.717356	0.800000	0.717397	0.717356	0.717356	0.717356	0.717356	0.717356	0.717356	0.717356	-1.#IND00	
0.900000	0.783327	0.900000	0.783421	0.783327	0.783327	0.783327	0.783327	0.783327	0.783327	0.783327	-1.#IND00	
1.000000	0.841471	1.000000	0.841667	0.841471	0.841471	0.841471	0.841471	0.841471	0.841471	0.841471	-1.#IND00	
1.100000	0.891207	1.100000	0.891588	0.891207	0.891207	0.891207	0.891207	0.891207	0.891207	0.891207	-1.#IND00	
1.200000	0.932039	1.200000	0.932736	0.932039	0.932039	0.932039	0.932039	0.932039	0.932039	0.932039	-1.#IND00	
1.300000	0.963558	1.300000	0.964774	0.963559	0.963558	0.963558	0.963557	0.963557	0.963557	0.963555	-1.#IND00	
1.400000	0.985450	1.400000	0.987485	0.985451	0.985450	0.985450	0.985445	0.985444	0.985444	0.985429	-1.#IND00	
1.500000	0.997495	1.500000	1.000781	0.997497	0.997495	0.997495	0.997476	0.997476	0.997479	0.997391	-1.#IND00	
1.600000	0.999574	1.600000	1.004715	0.999578	0.999574	0.999574	0.999511	0.999515	0.999568	0.999223	-1.#IND00	
1.700000	0.991665	1.700000	0.999488	0.991673	0.991665	0.991666	0.991470	0.991516	0.991972	0.991848	-1.#IND00	
1.800000	0.973848	1.800000	0.985464	0.973863	0.973848	0.973850	0.973279	0.973577	0.976602	0.989227	-1.#IND00	
1.900000	0.946300	1.900000	0.963175	0.946329	0.946302	0.946308	0.944734	0.946227	0.963322	1.106242	-1.#IND00	
2.000000	0.909297	2.000000	0.933333	0.909347	0.909300	0.909317	0.905211	0.911647	0.997075	2.087984	-1.#IND00	
2.100000	0.863209	2.100000	0.896842	0.863295	0.863215	0.863256	0.853057	0.877911	1.264140	8.075325	-1.#IND00	
2.200000	0.808496	2.200000	0.854803	0.808638	0.808507	0.808604	0.784365	0.872378	2.476409	39.538939	-1.#IND00	
2.300000	0.745705	2.300000	0.808529	0.745936	0.745723	0.745942	0.690622	0.980540	7.168301	188.459142	-1.#IND00	
2.400000	0.675463	2.400000	0.759552	0.675831	0.675495	0.675969	0.554323	1.451729	23.814464	835.900413	-1.#IND00	
2.500000	0.598472	2.500000	0.709635	0.599046	0.598526	0.599514	0.341058	2.971279	79.208295	3452.664384	-1.#IND00	
2.600000	0.515501	2.600000	0.660781	0.516382	0.515591	0.517584	-0.014334	7.328795	253.881925	13370.056480	-1.#IND00	
2.700000	0.427380	2.700000	0.615242	0.428710	0.427527	0.431428	-0.631317	18.991528	779.007662	48853.096810	-1.#IND00	
2.800000	0.334988	2.800000	0.575531	0.336965	0.335224	0.342656	-1.722650	48.672153	2290.831709	169359.919649	-1.#IND00	
2.900000	0.239249	2.900000	0.544429	0.242147	0.239622	0.253430	-3.657285	121.148829	6473.988378	559623.504804	-1.#IND00	
3.000000	0.141120	3.000000	0.525000	0.145313	0.141700	0.166774	-7.059298	291.883028	17632.366824	1769539.771633	-1.#IND00	
3.100000	0.041581	3.100000	0.520596	0.047571	0.042470	0.087047	-12.959706	681.344015	46403.094110	5372589.592125	-1.#IND00	
3.200000	-0.058374	3.200000	0.534869	-0.049913	-0.057029	0.020680	-23.023751	1544.074324	118278.074350	15709397.431452	-1.#IND00	
